MULTIPLIER,SPEED_MBps
1,18124.8
2,25804.8
3,35328.0
4,42496.0
5,43008.0
6,53350.4
7,62259.2
8,67072.0
9,71884.8
10,72089.6
11,76697.6
12,65843.2
13,55808.0
14,56115.2
15,56012.8
16,56934.4
17,52531.2
18,57548.8
19,58675.2
20,60723.2
21,59596.8
22,41267.2
23,54988.8
24,58368.0
25,58880.0
26,58368.0
27,60416.0
28,59392.0
29,60620.8
30,59392.0
31,61849.6
32,60211.2
33,61952.0
34,58880.0
35,61952.0
36,56627.2
37,43417.6
38,59801.6
39,61952.0
40,61542.4
41,61542.4
42,61747.2
43,61747.2
44,62361.6
45,61440.0
46,63795.2
47,61747.2
48,64000.0
49,64204.8
50,62976.0
51,63795.2
52,52838.4
53,62156.8
54,64000.0
55,63078.4
56,60825.6
57,62259.2
58,63385.6
59,57856.0
60,62259.2
61,60313.6
62,56627.2
63,54886.4
64,57651.2
